onset	duration	weight	trial_type
4	0	1	Audiovisual
5	0	1	Audio
6	0	1	Audio
7	0	1	Audiovisual
8	0	1	Audiovisual
10	0	1	Audio
11	0	1	Audiovisual
12	0	1	Audiovisual
13	0	1	Audio
58	0	1	Audio
59	0	1	Audio
60	0	1	Audio
61	0	1	Audio
63	0	1	Audio
79	0	1	Audio
81	0	1	Audio
82	0	1	Audio
83	0	1	Audio
84	0	1	Audio
85	0	1	Audio
88	0	1	Audio
91	0	1	Audio
92	0	1	Audio
93	0	1	Audio
102	0	1	Audio
151	0	1	Audiovisual
162	0	1	Audio
163	0	1	Audio
164	0	1	Audiovisual
166	0	1	Audio
167	0	1	Audio
171	0	1	Audiovisual
172	0	1	Audiovisual
173	0	1	Audiovisual
174	0	1	Audiovisual
182	0	1	Audiovisual
183	0	1	Audiovisual
184	0	1	Audio
185	0	1	Audio
186	0	1	Audio
187	0	1	Audiovisual
188	0	1	Audio
189	0	1	Audio
190	0	1	Audio
191	0	1	Audio
192	0	1	Audio
193	0	1	Audio
194	0	1	Audio
195	0	1	Audio
197	0	1	Audiovisual
198	0	1	Audiovisual
199	0	1	Audio
200	0	1	Audio
201	0	1	Audio
203	0	1	Audio
204	0	1	Audio
205	0	1	Audio
206	0	1	Audio
208	0	1	Audio
210	0	1	Audio
211	0	1	Audio
212	0	1	Audio
213	0	1	Audio
215	0	1	Audio
217	0	1	Audiovisual
218	0	1	Audio
226	0	1	Audio
227	0	1	Audio
228	0	1	Audio
229	0	1	Audio
231	0	1	Audio
232	0	1	Audio
233	0	1	Audio
235	0	1	Audio
236	0	1	Audio
238	0	1	Audio
240	0	1	Audio
241	0	1	Audio
242	0	1	Audio
243	0	1	Audio
244	0	1	Audiovisual
245	0	1	Audio
246	0	1	Audio
247	0	1	Audio
248	0	1	Audio
252	0	1	Audio
253	0	1	Audio
254	0	1	Audio
255	0	1	Audiovisual
256	0	1	Audio
257	0	1	Audiovisual
260	0	1	Audio
261	0	1	Audio
262	0	1	Audio
264	0	1	Audio
265	0	1	Audio
266	0	1	Audio
267	0	1	Audio
268	0	1	Audio
269	0	1	Audio
270	0	1	Audio
271	0	1	Audio
272	0	1	Audio
273	0	1	Audio
274	0	1	Audio
275	0	1	Audio
276	0	1	Audio
277	0	1	Audio
278	0	1	Audio
279	0	1	Audio
280	0	1	Audio
281	0	1	Audio
282	0	1	Audio
283	0	1	Audio
284	0	1	Audio
285	0	1	Audio
286	0	1	Audio
287	0	1	Audiovisual
288	0	1	Audiovisual
289	0	1	Audiovisual
290	0	1	Audiovisual
291	0	1	Audiovisual
292	0	1	Audiovisual
293	0	1	Audiovisual
294	0	1	Audio
295	0	1	Audio
296	0	1	Audio
297	0	1	Audio
298	0	1	Audiovisual
299	0	1	Audiovisual
301	0	1	Audiovisual
302	0	1	Audiovisual
304	0	1	Audiovisual
306	0	1	Audio
307	0	1	Audio
308	0	1	Audio
310	0	1	Audio
311	0	1	Audio
312	0	1	Audio
313	0	1	Audio
314	0	1	Audio
315	0	1	Audio
316	0	1	Audio
317	0	1	Audio
318	0	1	Audio
319	0	1	Audio
320	0	1	Audio
321	0	1	Audio
322	0	1	Audio
323	0	1	Audio
324	0	1	Audio
326	0	1	Audio
328	0	1	Audio
329	0	1	Audio
330	0	1	Audio
332	0	1	Audio
333	0	1	Audio
334	0	1	Audio
335	0	1	Audio
336	0	1	Audio
337	0	1	Audiovisual
338	0	1	Audiovisual
339	0	1	Audiovisual
340	0	1	Audio
341	0	1	Audio
342	0	1	Audio
349	0	1	Audio
350	0	1	Audio
351	0	1	Audio
352	0	1	Audio
353	0	1	Audio
354	0	1	Audio
355	0	1	Audio
356	0	1	Audiovisual
357	0	1	Audio
358	0	1	Audio
361	0	1	Audio
362	0	1	Audio
363	0	1	Audio
364	0	1	Audio
392	0	1	Audio
393	0	1	Audio
394	0	1	Audio
395	0	1	Audio
396	0	1	Audio
398	0	1	Audio
400	0	1	Audiovisual
401	0	1	Audiovisual
403	0	1	Audiovisual
404	0	1	Audiovisual
406	0	1	Audiovisual
408	0	1	Audio
410	0	1	Audiovisual
411	0	1	Audiovisual
415	0	1	Audiovisual
416	0	1	Audiovisual
417	0	1	Audiovisual
418	0	1	Audio
419	0	1	Audio
420	0	1	Audio
421	0	1	Audio
422	0	1	Audio
423	0	1	Audiovisual
424	0	1	Audiovisual
425	0	1	Audiovisual
426	0	1	Audiovisual
428	0	1	Audio
429	0	1	Audio
431	0	1	Audio
432	0	1	Audio
433	0	1	Audio
434	0	1	Audio
437	0	1	Audiovisual
438	0	1	Audiovisual
440	0	1	Audiovisual
441	0	1	Audiovisual
445	0	1	Audiovisual
446	0	1	Audiovisual
450	0	1	Audiovisual
451	0	1	Audiovisual
453	0	1	Audiovisual
454	0	1	Audiovisual
455	0	1	Audiovisual
457	0	1	Audiovisual
458	0	1	Audiovisual
459	0	1	Audiovisual
461	0	1	Audiovisual
467	0	1	Audio
468	0	1	Audio
469	0	1	Audio
470	0	1	Audio
471	0	1	Audio
472	0	1	Audio
473	0	1	Audio
474	0	1	Audio
475	0	1	Audio
476	0	1	Audio
477	0	1	Audio
478	0	1	Audio
479	0	1	Audio
480	0	1	Audio
481	0	1	Audio
482	0	1	Audio
483	0	1	Audio
484	0	1	Audio
485	0	1	Audio
486	0	1	Audio
487	0	1	Audio
490	0	1	Audio
492	0	1	Audio
499	0	1	Audio
500	0	1	Audio
501	0	1	Audiovisual
502	0	1	Audiovisual
503	0	1	Audio
504	0	1	Audio
505	0	1	Audio
506	0	1	Audio
507	0	1	Audio
508	0	1	Audio
509	0	1	Audio
510	0	1	Audio
511	0	1	Audio
512	0	1	Audiovisual
513	0	1	Audiovisual
514	0	1	Audiovisual
515	0	1	Audiovisual
516	0	1	Audiovisual
517	0	1	Audio
518	0	1	Audio
519	0	1	Audio
520	0	1	Audio
522	0	1	Audiovisual
523	0	1	Audio
524	0	1	Audio
525	0	1	Audio
526	0	1	Audiovisual
527	0	1	Audiovisual
528	0	1	Audiovisual
529	0	1	Audiovisual
532	0	1	Audiovisual
533	0	1	Audiovisual
534	0	1	Audiovisual
535	0	1	Audiovisual
536	0	1	Audiovisual
537	0	1	Audiovisual
538	0	1	Audiovisual
539	0	1	Audiovisual
540	0	1	Audiovisual
542	0	1	Audiovisual
543	0	1	Audio
544	0	1	Audio
545	0	1	Audiovisual
546	0	1	Audiovisual
549	0	1	Audiovisual
553	0	1	Audiovisual
555	0	1	Audiovisual
560	0	1	Audio
561	0	1	Audio
562	0	1	Audio
574	0	1	Audiovisual
575	0	1	Audiovisual
576	0	1	Audiovisual
577	0	1	Audiovisual
578	0	1	Audiovisual
579	0	1	Audiovisual
580	0	1	Audiovisual
583	0	1	Audiovisual
584	0	1	Audiovisual
585	0	1	Audiovisual
586	0	1	Audiovisual
593	0	1	Audiovisual
594	0	1	Audiovisual
595	0	1	Audiovisual
623	0	1	Audio
624	0	1	Audio
